ACI  R      G      B        R   G   B    R   G   B
  1  1.0000 0.0000 0.0000 255   0   0  255   0   0
  2  1.0000 1.0000 0.0000 255 255   0  255 255   0
  3  0.0000 1.0000 0.0000   0 255   0    0 255   0
  4  0.0000 1.0000 1.0000   0 255 255    0 255 255
  5  0.0000 0.0000 1.0000   0   0 255    0   0 255
  6  1.0000 0.0000 1.0000 255   0 255  255   0 255
  7  1.0000 1.0000 1.0000 255 255 255  255 255 255
  8  0.5020 0.5020 0.5020 128 128 128  132 130 132
  9  0.7530 0.7530 0.7530 192 192 192  198 195 198
 10  1.0000 0.0000 0.0000 255   0   0  255   0   0
 11  1.0000 0.5000 0.5000 255 127 127  255 125 123
 12  0.6500 0.0000 0.0000 165   0   0  206   0   0
 13  0.6500 0.3250 0.3250 165  82  82  206 101  99
 14  0.5000 0.0000 0.0000 127   0   0  156   0   0
 15  0.5000 0.2500 0.2500 127  63  63  156  77  74
 16  0.3000 0.0000 0.0000  76   0   0  123   0   0
 17  0.3000 0.1500 0.1500  76  38  38  123  60  57
 18  0.1500 0.0000 0.0000  38   0   0   74   0   0
 19  0.1500 0.0750 0.0750  38  19  19   74  36  33
 20  1.0000 0.2500 0.0000 255  63   0  255  60  00
 21  1.0000 0.6250 0.5000 255 159 127  255 158 123
 22  0.6500 0.1625 0.0000 165  41   0  206  48   0
 23  0.6500 0.4063 0.3250 165 103  82  206 125  99
 24  0.5000 0.1250 0.0000 127  31   0  156  36   0
 25  0.5000 0.3125 0.2500 127  79  63  156  93  74
 26  0.3000 0.0750 0.0000  76  19   0  123  28   0
 27  0.3000 0.1875 0.1500  76  47  38  123  77  57
 28  0.1500 0.0375 0.0000  38   9   0   74  16   0
 29  0.1500 0.0938 0.0750  38  23  19   74  44  33
 30  1.0000 0.5000 0.0000 255 127   0  255 125   0
 31  1.0000 0.7500 0.5000 255 191 127  255 190 123
 32  0.6500 0.3250 0.0000 165  82   0  206 101   0
 33  0.6500 0.4875 0.3250 165 124  82  206 154  99
 34  0.5000 0.2500 0.0000 127  63   0  156  77   0
 35  0.5000 0.3750 0.2500 127  95  63  156 113  74
 36  0.3000 0.1500 0.0000  76  38   0  123  60   0
